共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,8,"DEU, DNK, FIN, FRA, GBR, IRL, PRT, SWE",11.78
2,#47c247,6,"BEL, CZE, JPN, NLD, NOR, POL",11.39
3,#b295cc,6,"AUT, ESP, HUN, ITA, SVK, SVN",11.83
4,#a9766b,6,"CHL, COL, CRI, ISL, ISR, ZAF",9.06
5,#e9aed7,4,"ARG, MLT, PER, SAU",11.12
6,#9e9e9e,5,"HRV, IDN, IND, ROU, RUS",11.00
7,#d2d349,5,"BGR, EST, LTU, LUX, LVA",10.68
8,#45d0df,2,"CHN, MEX",11.00
9,#3e95d2,2,"AUS, TUR",12.00
10,#47c247,2,"CAN, NZL",12.00
11,#b295cc,3,"CHE, GRC, KOR",11.89
