共识ID,配色HEX,国家数,国家列表,簇内平均重叠
1,#3e95d2,3,"DEU, GBR, SWE",12.33
2,#47c247,5,"DNK, FIN, FRA, IRL, PRT",13.32
3,#b295cc,6,"BEL, CZE, JPN, NLD, NOR, POL",11.39
4,#a9766b,6,"AUT, ESP, HUN, ITA, SVK, SVN",11.83
5,#e9aed7,5,"COL, CRI, ISL, ISR, ZAF",9.80
6,#9e9e9e,1,CHL,15.00
7,#d2d349,4,"ARG, MLT, PER, SAU",11.12
8,#45d0df,2,"IDN, IND",13.50
9,#3e95d2,3,"HRV, ROU, RUS",12.78
10,#47c247,2,"BGR, LUX",12.50
11,#b295cc,3,"EST, LTU, LVA",13.00
12,#a9766b,2,"CHN, MEX",11.00
13,#e9aed7,2,"AUS, TUR",12.00
14,#9e9e9e,2,"CAN, NZL",12.00
15,#d2d349,3,"CHE, GRC, KOR",11.89
